,Name,Pret,Currency,Nr of reviews,Image
57,"Bucatarie Dalila, stejar gri + gri grafit, 160 cm, 6C",1449.00 lei/bucata, lei/bucata,['3'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8063828-8_1.jpg
58,"Masa bucatarie extensibila Klara, dreptunghiulara, 10 persoane, sherwood, 170 / 250 x 80 x 76 cm, 2C",1499.00 lei/bucata, lei/bucata,['3'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8056202_1.jpg
59,"Set masa extensibila cu 4 scaune tapitate S-37, bucatarie, nuc + maro, 4C",1879.00 lei/set, lei/set,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8061866_1.jpg
60,"Bucatarie Kent, stejar gri + stejar alb, 200 cm, 5C",2099.00 lei/bucata, lei/bucata,['19'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/1/1/11006677_kuhinja-kent-200_bh_sh_f_sa-ugradnom-sudoperom.jpg
61,"Bucatarie Diva, alb mat + folie lucioasa alba, 200 cm, 5C",2239.00 lei/bucata, lei/bucata,['19'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8054565-0.jpg
62,"Bucatarie Diana, stejar gri + alb + folie lucioasa nisip, 200 cm, 5C",2499.00 lei/bucata, lei/bucata,['9'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8059504_1.jpg
63,"Bucatarie Claudia, alb mat + negru + folie lucioasa alba + folie mata neagra, 200 cm, 5C",2599.00 lei/bucata, lei/bucata,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8059505-0_1.jpg
64,"Masa bucatarie extensibila Medan, dreptunghiulara, 6 persoane, alb lucios, 140 / 180 x 90 x 76 cm, 3C",2799.00 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8094321.png
65,"Bucatarie Diva, alb + alb lucios, 260 cm, 8C",2898.99 lei/pachet, lei/pachet,['4'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8054565-8050422-8054380_1.jpg
66,"Bucatarie Kent, stejar gri + stejar alb, 260 cm, 7C",2899.00 lei/pachet, lei/pachet,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/b/u/bundle-kent_1.jpg
67,"Bucatarie Claudia, alb mat + negru + folie lucioasa alba + folie mata neagra, cu lumini, 260 cm, 9C",2998.98 lei/pachet,lei/pachet,['6'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/b/u/bucatarie_claudia-bundle_1.jpg
68,"Masa bucatarie extensibila Perak, dreptunghiulara, 6 persoane, alb lucios + crom, 160 / 220 x 90 x 76 cm, 3C",2999.00 lei/bucata, lei/bucata,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8094324.png
69,"Bucatarie Adela, stejar artisan + sticla gri inchis, cu lumini, 263 cm, 10C",3178.99 lei/pachet, lei/pachet,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8065191-2_1_1.jpg
70,"Bucatarie Diana, stejar gri + alb + folie lucioasa nisip, 260 cm, 8C",3198.99 lei/pachet, lei/pachet,['1'],https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/b/u/bucatarie-claudia-bundle.jpg
71,"Bucatarie Claudia, alb mat + negru + folie lucioasa alba + folie mata neagra, 260 cm, 8C",3228.99 lei/pachet,lei/pachet,,https://i.dedeman.ro/media/catalog/product/cache/dedeman/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/b/u/bucatarie_claudia-fara-lumini-bundle.jpg
